ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
BL29F55WDC_LH_CLU#028,Regular,Negated clause,Single,NA,NA,they (not have) mobile-phone/texting nothing,I wonder how they did it in the past without any technology to alert their time to light their beacon? ,1380,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"HS, NHS, HS",NA,NA,"mobile, nothing",Single,nothing,NOTHING,"PT:, MOBILE-PHONE, NOTHING"
BL29F55WDC_LH_CLU#044,Regular,Negated clause,Single,NA,NA,nothing (there were no) bonfires nothing? (not have any bonfires?),So there weren't any bonfires this time then?,2620,Neg/interrogative,Multiple,Present,reprise (clause-final),"HS, NHS",NA,NA,"nothing, bonfires, nothing",Multiple,Multiple,"NOTHING, MATCHES, NOTHING","NOTHING, MATCHES, NOTHING"
BL29F55WDC_LH_CLU#075,Regular,Constituent negation,Single,NA,NA,those places like nobody touch-there special-unique,"Take the Phillippines and Cambodia for instance, these countries were virgin countries but now have become commercialised.  ",3250,NA,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,nobody,Single,N/A,"AREA, SAME, NOTHING, TOUCH02","PT:DET, AREA, SAME, NOTHING, TOUCH02, INDECIPHERABLE(FALSE-START)"
BL29F55WDC_LH_CLU#109,Regular,Negated clause,Single,NA,NA,(me) don't-want that!,That's not what I want.,1820,Neg/imperative,Absent,Present,other,"HS1, NHS",NA,NA,"don't want, that",Single,don't,NA,"WANT, PT:PRO3SG, G:WELL"
BL29F55WDC_LH_CLU#133,Regular,Negated clause,Single,NA,NA,what (they not) eat nothing (not) drink nothing?,Didn't they eat or drink but just watched you? ,2080,Neg/interrogative,Multiple,Present,reprise (clause-final),"NHS, HS, HS?",NA,PRESSED-LIPS,"what, eat, drink, nothing",Single,nothing,NOTHING,"WHAT, EAT, NOTHING, DRINK, NOTHING"
BL29F55WDC_LH_CLU#140,Regular,Negated clause,EmbedDepend,contained,independent,(they) not change through (tourism),We need small towns to keep their niche market and to continue their traditions. ,1460,Neg/declarative,Single,Present,pre-predicate,"HS1, NHS",NA,NA,"not, change, through",Single,N/A,"NO, CHANGE, THROUGH","NO, CHANGE, THROUGH"
BL29F55WDC_LH_CLU#151,?,Negated clause,Single,NA,NA,well (we) not-understand listed-items whatted look-up-confused,We couldn't understand what was on the menu.,2233,Neg/declarative,Single,Present,other,"NHS, HS",CA:SIGNER+HUSBAND ,SYLL:POOH,NA,Absent,Absent,"G:WELL, NOT-UNDERSTAND, LIST","G:WELL, NOT-UNDERSTAND, LIST, WHAT, G:CA:HOLD-MENU"
BL30M65WDC_CLU#028,Irregular,Negated clause,Single,NA,NA,(they) won't accept it/that/us,It was because my ex-wife was still alive and they wouldn't accept our request. ,1580,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"won't, accept, accept-prog",Single,won't,"WILL-NOT, ACCEPT, PT:PRO3SG",NA
BL30M65WDC_CLU#041,Regular,INDEFINITE,Single,NA,NA,(other side candle) nothing-there (not lit/not burn),"In the marriage, there would be one candle burning out of the two so the congregation would know who was a Catholic. ",946,Neg/declarative,Single,Present,other,NHS,NA,NA,nothing,Single,N/A,NA,NOTHING
BL30M65WDC_CLU#044,Regular,INDEFINITE,Single,NA,NA,should not/should do-nothing (not show difference)/should (have) nothing (no candles),"I think it's a bad attitude, there should be none regardless. ",1765,Neg/imperative,Single,Absent,post-predicate (non-reprise & clause-final),HS,NA,NA,should,Absent,N/A,"SHOULD, NOTHING","SHOULD, NOTHING"
BL30M65WDC_CLU#052,Regular,Negated clause,Single,NA,NA,(me could not) believe (it) me,I couldn't believe it.,1141,Neg/declarative,Absent,Present,NA,HS,NA,NA,couldn't believe,Single,couldn't,"BELIEVE, PT:PRO1SG",BELIEVE
BL30M65WDC_CLU#053,Regular,Negated clause,Depend,NA,independent,(me) think nothing (not different to England),I didn't think much of it but it was completely different. ,1375,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),HS1,NA,NA,"think, nothing",Single,N/A,"THINK, NOTHING",NA
BL30M65WDC_CLU#063,Regular,Negated clause,Single,NA,NA,well (me don't know) me (don't know) why,I don't know... I don't know why but I think its..  I think it's because my wife's family is well known.,2633,Neg/response,Absent,Present,NA,HS,NA,NA,"I don't know, I don't know, why",Multiple,Multiple,"G:WELL, PT:, WHY",G:WELL
BL30M65WDC_CLU#096,Regular,Negated clause,Single,NA,NA,why? me don't-know/no-idea,They were staring at us really hard and we were clueless as to why. ,2126,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,why,Absent,Absent,"WHY, PT:PRO1SG, G:WELL",NA
BL30M65WDC_CLU#098,Regular,Negated clause,Single,NA,NA,me -- Annette with-me/there not-allowed!,Annette wasn't allowed to come along with me.,3306,Neg/imperative,Absent,Present,NA,NHS,NA,NA,"Annette, not allowed",Single,not,"PT:PRO1SG, SN:INDECEIPHERABLE(FS:INDECIPHERABLE(A)), ALLOW","SN:INDECEIPHERABLE(FS:INDECIPHERABLE(A)), PT:DET, PBUOY"
BL30M65WDC_CLU#099,Regular,Negated clause,Single,NA,NA,forbidden! (absolutely not allowed),It wasn't accepted and there we were before the landlord. ,1053,Neg/imperative,Single,Present,other,HS1,NA,PRESSED-LIPS,NA,Absent,Absent,NOT,NOT
BL30M65WDC_CLU#110,Regular,Negated clause,Single,NA,NA,they (won't) accept (Annette or women in pub),They wouldn't accept Annette.,1180,Neg/declarative,Absent,Present,NA,HS,NA,NA,won't accept,Single,won't,"PT:PRO3SG, ACCEPT",ACCEPT
BL30M65WDC_CLU#111,Regular,Negated clause,Single,NA,NA,women (not allowed) inside pub/(no) women in pub,Women weren't allowed in the pub.,1395,Neg/declarative,Absent,Present,NA,HS,NA,NA,"women, in, pub",Absent,Absent,"GIRL, GO-IN, DRINK",GO-IN
BL30M65WDC_CLU#121,Regular,Negated clause,Single,NA,NA,no (bonfires lit) there/(bonfires) nothing-lit there,They didn't light any bonfires.,2360,Neg/response,Single,Present,other,HS,NA,NA,nothing,Single,nothing,"NOTHING, PT:PRO3SG/PT:LOC",NA
BL30M65WDC_CLU#122,Regular,Negated clause,Single,NA,NA,(no) nothing (lit there/no bonfires lit there),No bonfires at all.,1014,Neg/response,Single,Present,other,HS,NA,NA,nothing,Single,nothing,NOTHING,NA
BL30M65WDC_CLU#126,Regular,Constituent negation,Single,NA,NA,that-way-up-there main road (there was) nothing,There weren't any bonfires down the main road.,3462,NA,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS, NHS",NA,NA,"there, main, road, nothing",Single,N/A,"FS:M-MAIN, STREET, NOTHING","PT:LOC, FS:M-MAIN, STREET"
BL30M65WDC_CLU#134,Regular,Negated clause,Embed,contained,NA,no! (forbidden),It was only the one pub which wouldn't accept female punters.,624,Neg/imperative,Single,Present,other,HS1,CD:PUB-LANDLORD,NA,no,Single,N/A,NOT,NOT
BL30M65WDC_CLU#137,Regular,Negated clause,Single,NA,NA,"(they say) ""out! no women there (allowed) in (pub)"" (women not allowed in pub)",They do not want any women in their pub. ,2312,Neg/imperative,Single,Present,other,HS,CD:FARMERS,NA,"ou(t), no, women",Single,no,"G:WELL, INDECIPHERABLE(FALSE-START), NOT, GIRL, PT:PRO3SG, FROM-TO",NOT
BM05M52WHC_CLU#028,Irregular,Negated clause,Single,NA,NA,(me) not-know what (the other episodes are like),The second is next week and the third is the week after but I don't know what they will be like.,710,Neg/declarative,Single,Present,other,"HS, NHS",NA,PRESSED-LIPS,NA,Absent,Absent,"KNOW-NOT, WHAT",FIRST
BM05M52WHC_CLU#078,Regular,Negated clause,DependEmbed,NA,dependent,(if) you (do not),I've got something on you. ,310,Neg/declarative,Absent,Present,NA,HS,CD:SADDAM-HUSSEIN,NA,if,Absent,N/A,PT:PRO3SG,PT:
BM05M52WHC_CLU#087,Irregular,Negated clause,Single,NA,NA,them-there-right-row not-know (anything about the previous night talk),And those on the right didn't know.,1470,Neg/declarative,Single,Present,other,"NHS, HS",NA,PRESSED-LIPS,NA,Absent,Absent,"PT:FBUOY, KNOW-NOT","FBUOY, KNOW-NOT"
BM06F56WDC_CLU#007,Irregular,Negated clause,Single,NA,NA,(no) cannot (watch) fourth-one (fourth episode),I've missed the first one so I can't catch up. ,670,Neg/response,Single,Present,other,"HS1, NHS",NA,NA,can't,Single,can't,"CAN-NOT, MODIFY-BUOY","LBUOY-FOUR02, LBUOY-THREE"
BM06F56WDC_CLU#009,Irregular,Negated clause,Single,NA,NA,not-know me,I don't know about that.,850,Neg/response,Single,Present,other,HS,NA,NA,UNSURE,Absent,Absent,"KNOW-NOT, PT:PRO1SG",NA
BM06F56WDC_CLU#043,Irregular,Negated clause,Single,NA,NA,(me) not-know me,I didn't know.,840,Neg/response,Single,Present,other,HS,NA,NA,"i didn't know, know-prog",Single,didn't,"KNOW-NOT, PT:PRO1SG",NA
BM06F56WDC_CLU#049,?,Negated clause,Single,NA,NA,so doesn't matter (if I didn't watch it live),"I should have recorded it, so it wouldn't have mattered! ",590,Neg/declarative,Single,Present,other,HS,NA,NA,"doesn't, matter",Single,doesn't,"G:WELL, PROBLEM-NOT","G:WELL, PROBLEM-NOT"
BM06F56WDC_CLU#060,Regular,Negated clause?,Single,NA,NA,me well (I don't know) so-what?,I don't know what to think about that.,1830,Neg/declarative,Absent,Present,NA,NHS,NA,PRESSED-LIPS ,NA,Absent,N/A,"PT:PRO1SG, G:WELL, G:WELL","G:WELL, G:WELL"
BM06F56WDC_CLU#091,Regular,Negated clause,Single,NA,NA,(me) not-want them-come-to-me me-sitting-there,I didn't want the man to come to me!,1128,Neg/declarative,Single,Present,other,"HS?, NHS ",CA:SIGNER,NA,don't want,Single,don't,"WANT, DSEW(1-VERT)-MOVE:HUMAN, G:CA:HOLD-STEERING-WHEEL/DSH(FIST)-MOVE",DSEW(FLAT)-BE
BM06F56WDC_CLU#104,Regular,Negated clause,Single,NA,NA,(car was) not old-ruined (no) ,"It was smart, not scruffy or anything. It was silver.",680,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,not,Single,not,"NO, DREADFUL",DREADFUL
BM06F56WDC_CLU#126,Regular,Negated clause,Single,NA,NA,tru-- true he stab-her or-not? (what if he didn't stab her?),We don't know that he did stab her.,1990,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),HS,CA:MAN-WHO-ALLEGEDLY-SHOT-JILL-DANDO,"SYLL:HALP, PRESSED-LIPS",but,Absent,Absent,"TRUE(FALSE-START), TRUE, PT:PRO3SG, G:CA:STAB/DSH(GRIP)-MOVE, NOTHING","TRUE, G:CA:STAB/DSH(GRIP)-MOVE"
BM06F56WDC_CLU#127,Regular,Negated clause,Single,NA,NA,(no) shot her or-not? (what if he didn't shoot her?),"No, shot her. ",1350,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,PRESSED-LIPS,NA,Absent,Absent,"GUN, PT:PRO3SG, NOTHING",NOTHING
BM06F56WDC_CLU#133,Irregular,Negated clause,Single,NA,NA,"me ""didn't! didn't!"" (shoot her)",He didn't think he should have been arrested.,1430,Neg/response,Single,Present,other,HS,CD:MAN-WHO-ALLEGEDLY-SHOT-JILL-DANDO,NA,"me, di(dn't)",Single,didn't,"PT:PRO1SG, SHOULDN'T/G:DISMISS",NA
BM06F56WDC_CLU#134,Regular,Negated clause?,Single,NA,NA,nothing (he didn't protest his innocence at all),He didn't think he should have been arrested.,510,Neg/response,Single,Present,other,NHS,NA,NA,nothing,Single,N/A,NOTHING,NOTHING
BM06F56WDC_CLU#135,Regular,Negated clause?,Single,NA,NA,but lucky him (in a way) well lucky or not...,"But, in a way, he was lucky. ",2790,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),"Nod, HS",NA,NA,NA,Absent,N/A,"BUT, LUCK, PT:PRO3SG, G:WELL, LUCK, PERHAPS","BUT, PT:PRO3SG, G:WELL"
BM06F56WDC_CLU#144,Regular,Negated clause,Single,NA,NA,me Wednesday never (go to Deaf club) me,I never went on Wednesdays because my parents both worked.,1510,Neg/declarative,Single,Present,other,HS,NA,NA,"Wednesday, never, never-prog",Single,never,"PT:PRO1SG, WEDNESDAY, NEVER, PT:PRO1SG","WEDNESDAY, NEVER, PT:PRO1SG"
BM07M17WDC_CLU#016,?,Negated clause,Embed,contained,NA,no don't-want (go to London) off-away home,"On Saturday morning, some of my friends that didn't want to go to London went home.",1190,Neg/declarative,Single,Present,other,HS,CA:SIGNER'S-FRIENDS,NA,"don't want, off off, home home",Single,N/A,"NO, WANT-NOT, GO, HOME02","NO, GO"
BM07M17WDC_CLU#019,Irregular,Negated clause,Single,NA,NA,my friend they not-have money,One of my friends didn't have any money for the train.,1270,Neg/declarative,Single,Present,other,"NHS, HS",NA,SYLL:POOH,"friend, money",Absent,Absent,"PT:POSS1SG, PARTNER, NOT-HAVE, MONEY02","FBUOY, PARTNER, PT:PRO3SG, MONEY02"
BM07M17WDC_CLU#021,Irregular,Negated clause,Single,NA,NA,but (he) not-have money,He didn't have any money.,1189,Neg/declarative,Single,Present,other,HS,CA:SIGNER'S-FRIEND?,SYLL:POOH,money,Absent,Absent,"G:WELL, NOT-HAVE, MONEY02, G:WELL","G:WELL, FBUOY, MONEY02, G:WELL"
BM07M17WDC_CLU#022,Irregular,Negated clause,Single,NA,NA,he (no) dismiss-problem not buy train (ticket),He decided not to bother paying the train fare. ,1590,Neg/declarative,Single,Present,other,"HS, NHS ",NA,SYLL:POOH,"pay, train",Absent,Absent,"PT:PRO3SG, G:DISMISS, NOT-HAVE, PAY, TRAIN","FBUOY, PAY, FBUOY"
BM07M17WDC_CLU#041,Regular,Negated clause ,Single ,NA,NA,(then) return-journey (back) me (no),But I had a day return instead. ,750,Neg/declarative,Absent,Present,NA,HS,NA,NA,the(n) back,Absent,Absent,"FROM-TO, PT:PRO1SG",FROM-TO
BM07M17WDC_CLU#046,Regular,Negated clause?,Single,NA,NA,me well not-paying-attention,I wasn't paying attention when I bought it.,990,Neg/declarative,Single,Present,other,HS,NA,NA,I,Absent,N/A,"PT:PRO1SG, PT:PRO1SG, INDECIPHERABLE, INATTENTION",INATTENTION
BM07M17WDC_CLU#053,Regular,Negated clause,Single,NA,NA,me (no) money nothing!,He had to get to London straight away but didn't have any money. ,590,Neg/response,Absent,Present,NA,HS,CD:SIGNER'S-FRIEND,NA,money,Absent,Absent,"PT:PRO1SG, MONEY02, G:WELL","PT:PRO1SG, MONEY02, G:WELL"
BM07M17WDC_CLU#068,Irregular,Negated clause,Single,NA,NA,my friend London arrive not-yet,"When we got there, my friends from London hadn't arrived yet. ",1070,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS1 ",NA,NA,"friend, lon(don), (ar)rive, (ar)rive-prog",Absent,Absent,"PT:POSS1SG, PARTNER, LONDON, ARRIVE, NOT-YET","PARTNER, ARRIVE"
BM07M17WDC_CLU#126,Irregular,Negated clause,Single,NA,NA,"(me) ""no no me not-want not-want!""",I really don't like it!,1550,Neg/declarative,Single,Present,other,HS,CA:SIGNER,NA,NA,Absent,Absent,"NO, LIKE-NOT",G:CA:SHISHA/DSH(FIST)-MOVE 
BM07M17WDC_CLU#127,Regular,Negated clause,Single,NA,NA,"no, me grape no (not like)",I don't like grape or strawberry.,1403,Neg/response,Single,Present,other,"NHS, HS",NA,NA,grapes,Absent,Absent,"PT:PRO1SG, GRAPES, NO",LBUOY-TWO02
BM07M17WDC_CLU#128,Regular,Negated clause,Single,NA,NA,second strawberry no (not like),I don't like grape or strawberry.,670,Neg/response,Single,Present,other,"NHS, HS1",NA,NA,NA,Absent,Absent,"PT:LBUOY, STRAWBERRY, NO",LBUOY-TWO02
BM07M17WDC_CLU#131,Irregular,Negated clause,Single,NA,NA,me not-yet try (me) not-yet (mint flavour),I haven't tried it yet.,1390,Neg/response,Multiple,Present,reprise (clause-final),HS,NA,NA,"not yet, try, not",Single,not,"PT:PRO1SG, NOT-YET, TRY, NOT-YET","G:CA:SHISHA/DSH(FIST)-MOVE, NOT-YET, TRY"
BM08M18AHC_CLU#058,Irregular,Negated clause,Single,NA,NA,(me) not-have time (enough sleep),I didn't get much because we were partying at your house.,390,Neg/declarative,Single,Present,other,HS1,NA,NA,"no, time",Single,no,"NOT-HAVE, TIME",TIME
BM08M18AHC_CLU#081,Regular,Negated clause,Single,NA,NA,me doing-nothing,I wasn't doing anything so I wondered what to do.,430,Neg/declarative,Single,Present,other,NHS,CA:SIGNER,NA,do nothing,Single,nothing,"PT:PRO1SG, NOTHING",NOTHING
BM08M18AHC_CLU#100,Irregular,Negated clause?,Single,NA,NA,(me) like feel foo-can't-be-bothered,I really didn't think I could be bothered.,1110,Neg/response,Single,Present,other,NHS,NA,SYLL:FOO,NA,Absent,N/A,"SAME, FEEL, CANT-BE-BOTHERED02, G:WELL",SAME
BM08M18AHC_CLU#101,Irregular,Negated clause,Single,NA,NA,yes but me can't-be-bothered me!,"Yeah, but I couldn't be bothered.",1870,Neg/response,Single,Present,other,HS,NA,SYLL:FOO,"yes, b(ut)",Absent,Absent,"YES, BUT, PT:PRO1SG, CANT-BE-BOTHERED02, PT:PRO1SG, G:WELL",G:WELL
BM08M18AHC_CLU#113,Regular,Negated clause,Single,NA,NA,but-well (me) dismiss/couldn't-be-bothered,"I did think about going to you, but I couldn't be bothered.",430,Neg/response,Absent,Present,NA,HS,NA,NA,NA,Absent,Absent,G:WELL,G:DISMISS
BM08M18AHC_CLU#115,Regular,Negated clause,Single,NA,NA,me long-time see-each-other nothing (we hadn't seen each other for ages),I wanted to go out with my cousin because I hadn't seen him for ages.,1190,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,"see, not yet",Single,not,"PT:PRO1SG/PT:PRO1SG, AGES, LOOK02, NOTHING","AGES, LOOK02, NOTHING"
BM08M18AHC_CLU#120,Regular,Negated clause,Single,NA,NA,me (not) go-to-you (no),I texted you to drop our plans because I was meeting him.,510,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,NA,Absent,Absent,"PT:PRO1SG, GO-TO",NA
BM09M68WHNC_CLU#024,?,Negated clause,Single,NA,NA,(it) doesn't-bother me,But that doesn't matter because I've got plenty of savings.,710,Neg/declarative,Single,Present,other,HS,NA,NA,no matter,Single,no,"PROBLEM-NOT, PT:PRO1SG","PROBLEM-NOT, FBUOY"
BM09M68WHNC_CLU#049,Regular,Negated clause,Depend,NA,dependent,they but hey-- if (they not) talk-to me (no),"If they don't talk to me, I won't give them presents! ",1580,Neg/declarative,Absent,Present,NA,"NHS, HS ",CA:SIGNER,NA,"if, talk",Absent,N/A,"PT:PRO3SG, BUT, G:HEY, FS:IF, TALK, PT:PRO1SG","FS:IF, TALK"
BM09M68WHNC_CLU#050,Regular,Negated clause,Depend,NA,independent,me no-them (refuse them) not give-present me,"If they don't talk to me, I won't give them presents! ",1510,Neg/declarative,Multiple,Absent,reprise (clause-final),NHS,CA:SIGNER ,"PRESSED-LIPS, PRESSED-LIPS",pres(ent),Absent,N/A,"PT:PRO1SG, NO02, GIVE, NO02, PT:PRO1SG",GIVE
BM09M68WHNC_CLU#051,Regular,Negated clause,SharedCecho,NA,NA,(me) cannot!,I can't!,320,Neg/response,Single,Present,other,HS,NA,NA,can't,Single,N/A,NA,CAN-NOT
BM09M68WHNC_CLU#052,Regular,Negated clause,Depend?,NA,dependent,(if) me no-them (refuse them),"If I said no, my daughter and her wife would think I was selfish. ",720,Neg/declarative,Single,Absent,other,NHS,CA:SIGNER,NA,if,Absent,N/A,"PT:PRO1SG, NO02",NA
BM09M68WHNC_CLU#055,?,Negated clause,Single,NA,NA,(me) not-want (to feel that way) me! ,I wouldn't want that.,1070,Neg/declarative,Single,Absent,other,NHS,NA,NA,NA,Absent,Absent,"WANT-NOT, PT:PRO1SG",NA
BM09M68WHNC_CLU#058,Regular,Negated clause?,Single ,NA,NA,(they not) me look-at-me oh-well (strange),"And they seem to love their games, so... ",1030,Neg/declarative,Absent,Absent,NA,NHS,CA:SIGNER ,NA,NA,Absent,N/A,"PT:PRO1SG, LOOK02, G:WELL",NA
BM09M68WHNC_CLU#080,Regular,Negated clause,Single,NA,NA,not different (things like) house door roof no?,Different doors and roofs for houses.,3160,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"HS, NHS ",NA,NA,"not, house, door, roof",Single,not,"DIFFERENT, HOUSE, DOOR, ROOF, NO","DIFFERENT, HOUSE, DOOR, ROOF"
BM09M68WHNC_CLU#102,Regular,Negated clause,Embed,post-container,NA,(not) apprentices no/(not have) apprenticeship no,Most building workers did not have apprenticeships.,1030,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,appren(tice),Absent,N/A,"APPRENTICE, NO","APPRENTICE, NO"
BM09M68WHNC_CLU#105,Regular,Negated clause,Single,NA,NA,(you not) apprentice nothing you nothing you?,"It's the same for bricklaying, you didn't have an apprenticeship, did you? ",1842,Neg/interrogative,Multiple,Present,reprise (non-clause-final),"NHS, HS ",NA,NA,appren(tice),Absent,Absent,"APPRENTICE, NOTHING, PT:PRO2SG, NOTHING, PT:PRO2SG","APPRENTICE, NOTHING"
BM09M68WHNC_CLU#117,Regular,Negated clause,Single,NA,NA,welf-- interpreters not-exist (there were no interpreters),"There were no interpreters,",1910,Neg/declarative,Single,Present,other,"NHS, HS",NA,NA,interpreters,Absent,Absent,"SOCIAL-WORKER(FALSE-START), INTERPRETER, NOTHING","SOCIAL-WORKER(FALSE-START), INTERPRETER, NOTHING"
BM09M68WHNC_CLU#124,Regular,Negated clause? ,Embed,contained ,NA,missioner (their sign like this) there-the missioners (no not good),Nowadays people say they think the missioners were patronising.,2147,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,"missioner, missioner",Absent,N/A,"MISSIONER, PT:DET, MISSIONER","MISSIONER, PT:DET, MISSIONER"
BM10M67WDNC_CLU#005,Irregular,Negated clause,Single,NA,NA,(oh) not-know me well...,"Oh, I don't know...",1440,Neg/response,Single,Present,other,"HS , NHS",NA,NA,"don't know, me",Single,don't,"KNOW-NOT, PT:PRO1SG, G:WELL",KNOW-NOT
BM10M67WDNC_CLU#010,Irregular,Negated clause,Single,NA,NA,but future-ahead (me) not-know me well,I don't know about the future.,1790,Neg/declarative,Single,Present,other,"NHS, HS, NHS ",NA,NA,"but, fu(ture), (don't) know",Single,don't,"BUT, FUTURE, KNOW-NOT, PT:PRO1SG, G:WELL",NA
BM10M67WDNC_CLU#030,Regular,Negated clause,Single,NA,NA,me (gulp reluctant) really not-want me,I don't really want to. ,1910,Neg/declarative,Single,Present,other,"NHS, HS ",CA:SIGNER,NA,"me, really, don't want",Single,don't,"PT:PRO1SG, TRUE, TIRED, PT:PRO1SG",TRUE
BM10M67WDNC_CLU#035,Irregular,Negated clause,Single,NA,NA,not-know me not-know,I don't know about that.,1310,Neg/response,Multiple,Present,reprise (clause-final),NHS,NA,PRESSED-LIPS,don't know,Single,don't,"KNOW-NOT, PT:PRO1SG, KNOW-NOT",NA
BM10M67WDNC_CLU#038,Irregular,Negated clause,Single,NA,NA,(me) not-know me,I don't know about the old pension system.,1270,Neg/response,Single,Absent,other,NHS,NA,PRESSED-LIPS,NA,Absent,Absent,"KNOW-NOT, PT:PRO1SG",NA
BM10M67WDNC_CLU#047,Regular,Constituent negation,Single,NA,NA,(it was) nothing!,That was nothing!,710,NA,Single,Present,NA,NHS,NA,NA,nothing,Single,N/A,NOTHING,NA
BM10M67WDNC_CLU#055,Regular,Negated clause,Embed,post-container,NA,(me) think (not),"I don't think they'll forget you in future, hopefully.",230,Neg/response,Absent,Present,NA,HS,NA,CWF,NA,Absent,N/A,THINK,NA
BM10M67WDNC_CLU#059,Irregular,Negated clause,Single,NA,NA,you cannot (say) no (you) cannot (do that!),You can't say no!,2630,Neg/response,Multiple,Present,other,HS,NA,NA,"can't, no, can't",Multiple,Multiple,"G:WELL, PT:PRO2SG, CAN-NOT, NO02, IMPOSSIBLE",IMPOSSIBLE
BM10M67WDNC_CLU#068,Regular,Negated clause,Depend,NA,independent,(they) give-me (presents) never them,They never give me anything when they go on holiday!,1110,Neg/declarative,Single,Present,post-predicate (non-reprise),"NHS, HS",NA,NA,"give, never",Single,N/A,"GIVE, NEVER, PT:PRO3PL/PT:PRO3SG",NEVER
BM10M67WDNC_CLU#073,Regular,Negated clause,Depend?,NA,dependent,(but) not give (presents to others),The children are happy to accept money but they don't want to spend it on us! ,950,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"not, give",Single,N/A,"NO, GIVE",NO
BM10M67WDNC_CLU#087,Regular,Negated clause,Depend?,NA,dependent,(but) there-them well (no nothing)/out-there well (no jobs nothing),He asked but it was hard to get them to take him on. ,1230,Neg/declarative,Absent,Present,NA,HS,CA:SIGNER'S-SON?,PRESSED-LIPS ,noth(ing)?,Single,N/A,"PT:PRO3PL, G:WELL, PT:",G:WELL
BM10M67WDNC_CLU#094,Regular,Negated clause,Embed ,contained,NA,(don't) worry,"I was concerned, but my son said not to worry.  ",270,Neg/declarative,Absent,Present,NA,HS,CD:SIGNER'S-SON,NA,don't worry,Single,N/A,WORRY,NA
BM10M67WDNC_CLU#101,Irregular,Negated clause,Single,NA,NA,(but we) don't-know,"I hope that'll turn out well, but I don't know.",470,Neg/declarative,Single,Present,other,HS?,NA,NA,don't know,Single,don't,KNOW-NOT,KNOW-NOT
BM10M67WDNC_CLU#109,Regular,Negated clause,SharedCecho,NA,NA,(not) houses no,Not houses.,830,Neg/response,Single,Present,other,HS1,NA,NA,"house, no",Single,N/A,"HOUSE, NO","HOUSE, NO"
BM10M67WDNC_CLU#116,Regular,Negated clause,Single,NA,NA,(he) not-like roofs,"So, not roofs...",710,Neg/declarative,Single,Present,NA,HS,NA,NA,NA,Absent,Absent,"MAYBE, ROOF(FALSE-START)","MAYBE, ROOF(FALSE-START)"
BM10M67WDNC_CLU#121,?,Negated clause,Single,NA,NA,they not-want (him even though he is hearing/they don't want deaf builders),They don't want that.,910,Neg/declarative,Single,Present,other,HS,NA,PRESSED-LIPS,don't,Single,don't,"PT:PRO3SG, WANT-NOT",NA
BM13F39WHC_CLU#004,Regular,Negated clause,Single,NA,NA,you (not) go same holiday same place no?,"You mean, she wasn't in the same holiday place as you no?",2120,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,"didn't, go, holiday, same, place, no",Multiple,Multiple,"PT:PRO2SG, GO, SAME, HOLIDAY02, SAME, PLACE, NO","SAME, SAME"
BM13F39WHC_CLU#006,Regular,Negated clause,Single,NA,NA,nothing no (they're not married yet) or-what?,They're not married?,1150,Neg/response,Multiple,Present,other,HS,NA,NA,"they not, married yet",Single,not,"NOTHING, NO, PT:",NA
BM13F39WHC_CLU#010,Regular,Negated clause,Single,NA,NA,no (her name is not Michelle),"No, not Michelle - Holly?",809,Neg/response,Single,Present,other,"HS1, HS",NA,NA,"no, Michelle",Single,no,"NO, G(NMS):MICHELLE",NA
BM13F39WHC_CLU#015,Irregular,Negated clause,Single,NA,NA,(me) not-know me!,I don't know.,400,Neg/response,Single,Present,other,NHS,NA,NA,i don't know,Single,don't,"KNOW-NOT, PT:PRO1SG",NA
BM13F39WHC_CLU#040,Regular,Negated clause,Single,NA,NA,"(but) you (no, not think she is fine)?",You don't think so?,1870,Neg/response,Absent,Present,NA,"Nod, HS",NA,PRESSED-LIPS,but,Absent,Absent,PT:PRO3SG,PT:PRO3SG
