ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
LN25M76WHC_CLU#022,Regular,Negated clause,Embed,contained,NA,me (not) coming (to) Cubs me not-at-all,I had asked a friend to let them know at the cubs that I wouldn't be coming as I was feeling ill. ,1542,Neg/response,Single,Present,post-predicate (non-reprise),HS,CD:SIGNER,PRESSED-LIPS,cubs,Absent,N/A,"PT:PRO1SG, FROM-TO, CUBS, PT:PRO1SG, NO",NO
LN25M76WHC_CLU#055,?,Negated clause,Single,NA,NA,which-one they not-sure,They weren't too sure and sent me to the hospital. ,1229,Neg/declarative,Single,Present,other,HS,CA:DOCTOR,NA,not sure,Single,not,"WHICH, TRUE-NOT, PT:PRO3SG","WHICH, TRUE-NOT"
LN25M76WHC_CLU#059,?,Negated clause,Single,NA,NA,he couldn't-be-bothered,Indeed I was lucky for my Mother as my Father wasn't too bothered. ,1073,Neg/declarative,Single,Present,other,NHS,NA,NA,bother,Absent,Absent,"PROBLEM-NOT, PT:PRO3SG",PROBLEM-NOT
LN25M76WHC_CLU#065,Regular,Negated clause?,Single,NA,NA,after-that me well-no-idea,I can't remember much after that as I was sent to the hospital.,705,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,PRESSED-LIPS,NA,Absent,N/A,"NEXT, PT:PRO3SG, G:WELL","NEXT, G:WELL"
LN25M76WHC_CLU#096,Regular,Negated clause,Depend,NA,independent,really mother not religious person she (no),In a state of panic she immediately knelt down at home and prayed to God even though she wasn't a Christian. ,3050,Neg/declarative,Single,Present,pre-predicate,"NHS, HS",NA,NA,"really, mother, not, religious, person",Single,N/A,"TRUE, MOTHER, NOT, CATHOLIC02, PERSON, PT:PRO3SG","TRUE, MOTHER, NOT"
LN25M76WHC_CLU#098,Regular,Negated clause,Single,NA,NA,please not take-from-me please not take him,She pleaded to God not to take me. ,1953,Neg/reprise,Multiple,Present,reprise (clause-final),HS,CD:SIGNER'S-MOTHER,NA,"please, don't, take him, please, don't, take, him",Multiple,Multiple,"PLEASE, NOT, TAKE, PLEASE, NO, TAKE, PT:PRO3SG",NA
LN25M76WHC_CLU#101,Regular,Negated clause?,Single,NA,NA,"(he say) ""hey no (he'll be) alright don't-worry""",Father came in and saw Mother kneeling down and reassured her that I would be alright. ,2148,Neg/response,Single,Present,pre-predicate,HS,CD:SIGNER'S-FATHER,NA,"be alright, don't worry",Single,N/A,"G:HEY, NO, GOOD, SETTLE","NO, GOOD, SETTLE"
LN25M76WHC_CLU#115,Regular,Negated clause,Depend,NA,dependent,(it's) true (or) not?,"Whether that was true or not, I don't know but wasn't it strange though? ",790,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,"true, or not",Single,N/A,"TRUE, NOT","TRUE, NOT"
LN25M76WHC_CLU#116,Irregular,Negated clause,Depend,NA,independent,(me) don't-know,"Whether that was true or not, I don't know but wasn't it strange though? ",586,Neg/response,Single,Present,other,NHS,NA,PRESSED-LIPS,NA,Absent,N/A,KNOW-NOT,KNOW-NOT
LN25M76WHC_CLU#125,Regular,Negated clause,Single,NA,NA,but honestly (me) not religious person me,But to be honest with you I am not a religious person.,3192,Neg/declarative,Single,Present,pre-predicate,"HS, Nod",NA,NA,"but, honest, I'm not, religious, person",Single,not,"BUT, ADD-TO-SIGNBANK(PROMISE2), NOT, PRAY, PERSON, PT:PRO1SG",PRAY
LN25M76WHC_CLU#131,Regular,Negated clause,Single,NA,NA,please not take-her don't,She was very ill and I petitioned to God not to take her as she was young and should not die and there you go. ,1066,Neg/reprise,Single,Present,reprise (clause-final),HS,CD:SIGNER,NA,don't,Single,don't,"PLEASE, NOT, TAKE, NOT",NA
LN25M76WHC_CLU#133,Regular,Negated clause,Single,NA,NA,she shouldn't die,She was very ill and I petitioned to God not to take her as she was young and should not die and there you go. ,1184,Neg/reprise,Multiple,Present,pre-predicate,"NHS, HS",CD:SIGNER,NA,"shouldn't, die",Single,shouldn't,"PT:PRO3SG, NOT, NOT, DIE","NOT, NOT, DIE"
LN25M76WHC_CLU#140,?,Negated clause,Single,NA,NA,other times (me) dismiss not-bother,It really looks bad when I only pray when I want something or for His help but in other times I am not too bothered so that renders me as a two faced person. ,1629,Neg/declarative,Single,Present,other,NHS,CA:SIGNER,NA,"other, time, don't bother",Single,don't,"OTHER, TIME, GO/G:DISMISS, PROBLEM-NOT","OTHER, TIME, FBUOY, PROBLEM-NOT"
